season,model,source_file,selection_rule,fixtures_processed,candidates,priced,sgp_hits,sgp_hit_rate,ml_wins,ml_win_rate,avg_ml_odds,avg_implied_prob,edge_vs_market,roi_units,roi,max_drawdown,longest_losing_streak,avg_p_joint_hit,avg_p_joint_miss
2023-24,V2,bully_engine_v2.py,is_bully_spot,1752,190,190,115,0.605263,131,0.689474,1.423579,0.721875,-0.032402,-7.73,-0.040684,14.45,5,0.510045,0.503612
2023-24,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,1752,287,287,176,0.61324,203,0.707317,1.451882,0.709722,-0.002405,0.95,0.00331,12.87,4,0.521264,0.503674
2023-24,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,1752,237,237,145,0.611814,168,0.708861,1.420717,0.722834,-0.013974,-3.14,-0.013249,12.39,4,0.431025,0.417122
2023-24,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,1752,237,237,145,0.611814,168,0.708861,1.420717,0.722834,-0.013974,-3.14,-0.013249,12.39,4,0.431025,0.417122
2023-24,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,1752,237,237,145,0.611814,168,0.708861,1.420717,0.722834,-0.013974,-3.14,-0.013249,12.39,4,0.442051,0.426438
2023-24,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,1752,237,237,145,0.611814,168,0.708861,1.420717,0.722834,-0.013974,-3.14,-0.013249,12.39,4,0.442051,0.426438
2023-24,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,1752,430,430,222,0.516279,254,0.590698,1.68293,0.634547,-0.043849,-33.28,-0.077395,44.76,5,0.527498,0.521148
2024-25,V2,bully_engine_v2.py,is_bully_spot,1752,228,228,114,0.5,145,0.635965,1.414342,0.722051,-0.086086,-31.26,-0.137105,35.45,4,0.48699,0.47703
2024-25,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,1752,468,468,247,0.527778,310,0.662393,1.470256,0.699382,-0.036989,-29.62,-0.063291,36.35,4,0.499048,0.487653
2024-25,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,1752,426,426,232,0.544601,289,0.678404,1.433404,0.713375,-0.034972,-24.73,-0.058052,30.07,4,0.410267,0.400439
2024-25,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,1752,426,426,232,0.544601,289,0.678404,1.433404,0.713375,-0.034972,-24.73,-0.058052,30.07,4,0.410267,0.400439
2024-25,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,1752,426,426,232,0.544601,289,0.678404,1.433404,0.713375,-0.034972,-24.73,-0.058052,30.07,4,0.417681,0.409811
2024-25,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,1752,426,426,232,0.544601,289,0.678404,1.433404,0.713375,-0.034972,-24.73,-0.058052,30.07,4,0.417681,0.409811
2024-25,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,1752,484,484,239,0.493802,298,0.615702,1.67188,0.635214,-0.019511,-17.56,-0.036281,21.81,7,0.511598,0.503807
2025-26,V2,bully_engine_v2.py,is_bully_spot,1616,164,162,99,0.603659,115,0.70122,1.444691,0.711592,-0.010372,-5.21,-0.03216,9.34,2,0.479455,0.473012
2025-26,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,1616,433,428,242,0.558891,289,0.667436,1.520911,0.678244,-0.010807,-12.52,-0.029252,21.99,5,0.499226,0.478966
2025-26,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,1616,398,397,228,0.572864,272,0.683417,1.485768,0.690106,-0.006689,-7.37,-0.018564,17.24,5,0.399141,0.389603
2025-26,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,1616,398,397,228,0.572864,272,0.683417,1.485768,0.690106,-0.006689,-7.37,-0.018564,17.24,5,0.399141,0.389603
2025-26,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,1616,398,397,228,0.572864,272,0.683417,1.485768,0.690106,-0.006689,-7.37,-0.018564,17.24,5,0.410847,0.398344
2025-26,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,1616,398,397,228,0.572864,272,0.683417,1.485768,0.690106,-0.006689,-7.37,-0.018564,17.24,5,0.410847,0.398344
2025-26,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,1616,428,385,204,0.476636,256,0.598131,1.729039,0.617913,-0.019782,-24.92,-0.064727,34.62,8,0.521875,0.499136
aggregate,V2,bully_engine_v2.py,is_bully_spot,5120,582,580,328,0.563574,391,0.671821,1.425845,0.719072,-0.047251,-44.2,-0.076207,51.91,5,0.492799,0.483851
aggregate,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,5120,1188,1183,665,0.559764,802,0.675084,1.484125,0.694243,-0.019159,-41.19,-0.034818,53.01,5,0.504993,0.487881
aggregate,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,5120,1061,1060,605,0.570217,729,0.687088,1.450179,0.706775,-0.019688,-35.24,-0.033245,43.17,5,0.411049,0.399765
aggregate,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,5120,1061,1060,605,0.570217,729,0.687088,1.450179,0.706775,-0.019688,-35.24,-0.033245,43.17,5,0.411049,0.399765
aggregate,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,5120,1061,1060,605,0.570217,729,0.687088,1.450179,0.706775,-0.019688,-35.24,-0.033245,43.17,5,0.420947,0.408891
aggregate,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,5120,1061,1060,605,0.570217,729,0.687088,1.450179,0.706775,-0.019688,-35.24,-0.033245,43.17,5,0.420947,0.408891
aggregate,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,5120,1342,1299,665,0.495529,808,0.602086,1.692479,0.629865,-0.027779,-75.76,-0.058322,96.78,8,0.520058,0.507589
